Fecha,Total
01-01-2016,28
02-01-2016,29
03-01-2016,40
04-01-2016,56
05-01-2016,70
06-01-2016,56
07-01-2016,51
08-01-2016,76
09-01-2016,62
10-01-2016,40
11-01-2016,36
12-01-2016,79
13-01-2016,80
14-01-2016,67
15-01-2016,87
16-01-2016,88
17-01-2016,49
18-01-2016,76
19-01-2016,86
20-01-2016,68
21-01-2016,65
22-01-2016,74
23-01-2016,75
24-01-2016,51
25-01-2016,99
26-01-2016,81
27-01-2016,96
28-01-2016,83
29-01-2016,96
30-01-2016,76
31-01-2016,54
01-02-2016,104
02-02-2016,100
03-02-2016,117
04-02-2016,51
05-02-2016,68
06-02-2016,99
07-02-2016,50
08-02-2016,105
09-02-2016,89
10-02-2016,77
11-02-2016,113
12-02-2016,104
13-02-2016,87
14-02-2016,72
15-02-2016,82
16-02-2016,85
17-02-2016,111
18-02-2016,94
19-02-2016,95
20-02-2016,96
21-02-2016,54
22-02-2016,70
23-02-2016,101
24-02-2016,92
25-02-2016,90
26-02-2016,111
27-02-2016,112
28-02-2016,69
29-02-2016,88
01-03-2016,90
02-03-2016,99
03-03-2016,106
04-03-2016,118
05-03-2016,105
06-03-2016,64
07-03-2016,103
08-03-2016,97
09-03-2016,92
10-03-2016,84
11-03-2016,109
12-03-2016,105
13-03-2016,58
14-03-2016,77
15-03-2016,92
16-03-2016,91
17-03-2016,96
18-03-2016,123
19-03-2016,116
20-03-2016,68
21-03-2016,51
22-03-2016,87
23-03-2016,85
24-03-2016,43
25-03-2016,37
26-03-2016,46
27-03-2016,51
28-03-2016,96
29-03-2016,95
30-03-2016,102
31-03-2016,85
01-04-2016,122
02-04-2016,106
03-04-2016,69
04-04-2016,117
05-04-2016,114
06-04-2016,83
07-04-2016,107
08-04-2016,96
09-04-2016,92
10-04-2016,64
11-04-2016,96
12-04-2016,93
13-04-2016,89
14-04-2016,99
15-04-2016,108
16-04-2016,95
17-04-2016,72
18-04-2016,87
19-04-2016,95
20-04-2016,106
21-04-2016,97
22-04-2016,124
23-04-2016,99
24-04-2016,70
25-04-2016,110
26-04-2016,104
27-04-2016,104
28-04-2016,108
29-04-2016,124
30-04-2016,101
01-05-2016,48
02-05-2016,118
03-05-2016,117
04-05-2016,101
05-05-2016,112
06-05-2016,112
07-05-2016,101
08-05-2016,64
09-05-2016,57
10-05-2016,107
11-05-2016,111
12-05-2016,100
13-05-2016,120
14-05-2016,122
15-05-2016,82
16-05-2016,121
17-05-2016,109
18-05-2016,96
19-05-2016,121
20-05-2016,108
21-05-2016,116
22-05-2016,81
23-05-2016,113
24-05-2016,120
25-05-2016,117
26-05-2016,118
27-05-2016,105
28-05-2016,109
29-05-2016,55
30-05-2016,67
31-05-2016,102
01-06-2016,113
02-06-2016,102
03-06-2016,102
04-06-2016,98
05-06-2016,64
06-06-2016,56
07-06-2016,124
08-06-2016,121
09-06-2016,117
10-06-2016,117
11-06-2016,107
12-06-2016,67
13-06-2016,93
14-06-2016,104
15-06-2016,85
16-06-2016,106
17-06-2016,105
18-06-2016,108
19-06-2016,69
20-06-2016,100
21-06-2016,95
22-06-2016,80
23-06-2016,80
24-06-2016,100
25-06-2016,100
26-06-2016,81
27-06-2016,110
28-06-2016,99
29-06-2016,116
30-06-2016,92
01-07-2016,106
02-07-2016,74
03-07-2016,81
04-07-2016,70
05-07-2016,118
06-07-2016,124
07-07-2016,92
08-07-2016,89
09-07-2016,94
10-07-2016,62
11-07-2016,85
12-07-2016,92
13-07-2016,87
14-07-2016,92
15-07-2016,110
16-07-2016,104
17-07-2016,69
18-07-2016,119
19-07-2016,111
20-07-2016,59
21-07-2016,105
22-07-2016,114
23-07-2016,96
24-07-2016,51
25-07-2016,87
26-07-2016,110
27-07-2016,108
28-07-2016,97
29-07-2016,101
30-07-2016,112
31-07-2016,60
01-08-2016,100
02-08-2016,113
03-08-2016,95
04-08-2016,92
05-08-2016,91
06-08-2016,113
07-08-2016,57
08-08-2016,109
09-08-2016,119
10-08-2016,103
11-08-2016,96
12-08-2016,106
13-08-2016,100
14-08-2016,55
15-08-2016,57
16-08-2016,109
17-08-2016,110
18-08-2016,115
19-08-2016,127
20-08-2016,103
21-08-2016,65
22-08-2016,128
23-08-2016,117
24-08-2016,100
25-08-2016,105
26-08-2016,107
27-08-2016,93
28-08-2016,63
29-08-2016,110
30-08-2016,111
31-08-2016,93
01-09-2016,92
02-09-2016,112
03-09-2016,93
04-09-2016,80
05-09-2016,91
06-09-2016,115
07-09-2016,105
08-09-2016,118
09-09-2016,114
10-09-2016,105
11-09-2016,73
12-09-2016,126
13-09-2016,108
14-09-2016,97
15-09-2016,111
16-09-2016,126
17-09-2016,114
18-09-2016,60
19-09-2016,100
20-09-2016,102
21-09-2016,108
22-09-2016,115
23-09-2016,112
24-09-2016,96
25-09-2016,88
26-09-2016,111
27-09-2016,97
28-09-2016,113
29-09-2016,118
30-09-2016,136
01-10-2016,118
02-10-2016,89
03-10-2016,117
04-10-2016,98
05-10-2016,106
06-10-2016,103
07-10-2016,115
08-10-2016,129
09-10-2016,60
10-10-2016,107
11-10-2016,105
12-10-2016,125
13-10-2016,143
14-10-2016,104
15-10-2016,91
16-10-2016,57
17-10-2016,50
18-10-2016,123
19-10-2016,102
20-10-2016,126
21-10-2016,120
22-10-2016,115
23-10-2016,57
24-10-2016,108
25-10-2016,115
26-10-2016,140
27-10-2016,107
28-10-2016,118
29-10-2016,117
30-10-2016,91
31-10-2016,118
01-11-2016,112
02-11-2016,123
03-11-2016,123
